week_start,store_id,product_id,opening_stock_units,receipts_units,closing_stock_units,in_stock_days,ranged_flag
2026-06-15,STR001,SKU0001,36,5,36,7,True
2026-06-22,STR001,SKU0001,36,4,38,7,True
2026-06-29,STR001,SKU0001,38,5,40,7,True
2026-07-06,STR001,SKU0001,40,5,43,7,True
2026-07-13,STR001,SKU0001,43,5,48,7,True
2026-07-20,STR001,SKU0001,48,5,50,7,True
2026-07-27,STR001,SKU0001,50,6,54,7,True
2026-08-03,STR001,SKU0001,54,3,55,7,True
2025-02-24,STR001,SKU0003,22,10,27,7,True
2025-03-03,STR001,SKU0003,27,9,25,7,True
2025-03-10,STR001,SKU0003,25,11,26,7,True
2025-03-17,STR001,SKU0003,26,12,28,7,True
2025-03-24,STR001,SKU0003,28,7,19,7,True
2025-03-31,STR001,SKU0003,19,11,20,7,True
2025-04-07,STR001,SKU0003,20,9,22,7,True
2025-04-14,STR001,SKU0003,22,8,12,7,True
2025-04-21,STR001,SKU0003,12,8,15,7,True
2025-04-28,STR001,SKU0003,15,8,14,7,True
2025-05-05,STR001,SKU0003,14,11,15,7,True
2025-05-12,STR001,SKU0003,15,10,12,7,True
2025-05-19,STR001,SKU0003,12,11,12,7,True
2025-05-26,STR001,SKU0003,12,11,12,7,True
2025-06-02,STR001,SKU0003,12,10,11,7,True
2025-06-09,STR001,SKU0003,11,14,12,7,True
2025-06-16,STR001,SKU0003,12,15,15,7,True
2025-06-23,STR001,SKU0003,15,14,16,7,True
2025-06-30,STR001,SKU0003,16,13,24,7,True
2025-07-07,STR001,SKU0003,24,14,23,7,True
2025-07-14,STR001,SKU0003,23,10,17,7,True
2025-07-21,STR001,SKU0003,17,14,20,7,True
2025-07-28,STR001,SKU0003,20,13,19,7,True
2025-08-04,STR001,SKU0003,19,10,24,7,True
2025-08-11,STR001,SKU0003,24,14,29,7,True
2025-08-18,STR001,SKU0003,29,10,27,7,True
2025-08-25,STR001,SKU0003,27,13,26,7,True
2025-09-01,STR001,SKU0003,26,11,28,7,True
2025-09-08,STR001,SKU0003,28,11,31,7,True
2025-09-15,STR001,SKU0003,31,10,33,7,True
2025-09-22,STR001,SKU0003,33,11,32,7,True
2025-09-29,STR001,SKU0003,32,11,33,7,True
2025-10-06,STR001,SKU0003,33,8,29,7,True
2025-10-13,STR001,SKU0003,29,9,31,7,True
2025-10-20,STR001,SKU0003,31,11,31,7,True
2025-10-27,STR001,SKU0003,31,13,34,7,True
2025-11-03,STR001,SKU0003,34,10,33,7,True
2025-11-10,STR001,SKU0003,33,9,35,7,True
2025-11-17,STR001,SKU0003,35,9,33,7,True
2025-11-24,STR001,SKU0003,33,12,33,7,True
2025-12-01,STR001,SKU0003,33,8,31,7,True
2025-12-08,STR001,SKU0003,31,10,36,7,True
2025-12-15,STR001,SKU0003,36,13,36,7,True
2025-12-22,STR001,SKU0003,36,11,30,7,True
2025-12-29,STR001,SKU0003,30,10,37,7,True
2026-01-05,STR001,SKU0003,37,11,39,7,True
2026-01-12,STR001,SKU0003,39,12,40,7,True
2026-01-19,STR001,SKU0003,40,11,41,7,True
2026-01-26,STR001,SKU0003,41,13,43,7,True
2026-02-02,STR001,SKU0003,43,12,48,7,True
2026-02-09,STR001,SKU0003,48,8,45,7,True
2026-02-16,STR001,SKU0003,45,9,43,7,True
2026-02-23,STR001,SKU0003,43,10,43,7,True
2026-03-02,STR001,SKU0003,43,11,40,7,True
2026-03-09,STR001,SKU0003,40,12,43,7,True
2026-03-16,STR001,SKU0003,43,8,41,7,True
2026-03-23,STR001,SKU0003,41,9,40,7,True
2026-03-30,STR001,SKU0003,40,12,44,7,True
2026-04-06,STR001,SKU0003,44,10,49,7,True
2026-04-13,STR001,SKU0003,49,12,52,7,True
2026-04-20,STR001,SKU0003,52,10,48,7,True
2026-04-27,STR001,SKU0003,48,9,49,7,True
2026-05-04,STR001,SKU0003,49,11,50,7,True
2026-05-11,STR001,SKU0003,50,13,49,7,True
2026-05-18,STR001,SKU0003,49,10,45,7,True
2026-05-25,STR001,SKU0003,45,13,50,7,True
2026-06-01,STR001,SKU0003,50,14,52,7,True
2026-06-08,STR001,SKU0003,52,12,45,7,True
2026-06-15,STR001,SKU0003,45,15,52,7,True
2026-06-22,STR001,SKU0003,52,16,51,7,True
2026-06-29,STR001,SKU0003,51,14,56,7,True
2026-07-06,STR001,SKU0003,56,11,58,7,True
2026-07-13,STR001,SKU0003,58,14,62,7,True
2026-07-20,STR001,SKU0003,62,16,65,7,True
2026-07-27,STR001,SKU0003,65,14,65,7,True
2026-08-03,STR001,SKU0003,65,12,61,7,True
2025-06-09,STR001,SKU0006,15,7,14,7,True
2025-06-16,STR001,SKU0006,14,8,15,7,True
2025-06-23,STR001,SKU0006,15,7,16,7,True
2025-06-30,STR001,SKU0006,16,9,22,7,True
2025-07-07,STR001,SKU0006,22,8,21,7,True
2025-07-14,STR001,SKU0006,21,8,24,7,True
2025-07-21,STR001,SKU0006,24,9,25,7,True
2025-07-28,STR001,SKU0006,25,7,25,7,True
2025-08-04,STR001,SKU0006,25,7,29,7,True
2025-08-11,STR001,SKU0006,29,6,28,7,True
2025-08-18,STR001,SKU0006,28,6,27,7,True
2025-08-25,STR001,SKU0006,27,9,28,7,True
2025-09-01,STR001,SKU0006,28,8,24,7,True
2025-09-08,STR001,SKU0006,24,9,29,7,True
2025-09-15,STR001,SKU0006,29,7,31,7,True
2025-09-22,STR001,SKU0006,31,9,32,7,True
2025-09-29,STR001,SKU0006,32,9,32,7,True
2025-10-06,STR001,SKU0006,32,9,34,7,True
2025-10-13,STR001,SKU0006,34,7,37,7,True
2025-10-20,STR001,SKU0006,37,6,35,7,True
2025-10-27,STR001,SKU0006,35,6,37,7,True
2025-11-03,STR001,SKU0006,37,9,39,7,True
2025-11-10,STR001,SKU0006,39,7,39,7,True
2025-11-17,STR001,SKU0006,39,7,40,7,True
2025-11-24,STR001,SKU0006,40,9,42,7,True
2025-12-01,STR001,SKU0006,42,8,46,7,True
2025-12-08,STR001,SKU0006,46,8,50,7,True
2025-12-15,STR001,SKU0006,50,8,53,7,True
2025-12-22,STR001,SKU0006,53,7,53,7,True
2025-12-29,STR001,SKU0006,53,10,56,7,True
2026-01-05,STR001,SKU0006,56,8,58,7,True
2026-01-12,STR001,SKU0006,58,9,57,7,True
2026-01-19,STR001,SKU0006,57,10,60,7,True
2026-01-26,STR001,SKU0006,60,19,62,7,True
2026-02-02,STR001,SKU0006,62,13,56,7,True
2026-02-09,STR001,SKU0006,56,7,54,7,True
2026-02-16,STR001,SKU0006,54,10,57,7,True
2026-02-23,STR001,SKU0006,57,9,60,7,True
2026-03-02,STR001,SKU0006,60,10,60,7,True
2026-03-09,STR001,SKU0006,60,7,60,7,True
2026-03-16,STR001,SKU0006,60,9,64,7,True
2026-03-23,STR001,SKU0006,64,8,64,7,True
2026-03-30,STR001,SKU0006,64,8,64,7,True
2026-04-06,STR001,SKU0006,64,10,63,7,True
2026-04-13,STR001,SKU0006,63,7,63,7,True
2026-04-20,STR001,SKU0006,63,10,69,7,True
2026-04-27,STR001,SKU0006,69,8,70,7,True
2026-05-04,STR001,SKU0006,70,10,77,7,True
2026-05-11,STR001,SKU0006,77,9,79,7,True
2026-05-18,STR001,SKU0006,79,8,80,7,True
2026-05-25,STR001,SKU0006,80,9,82,7,True
2026-06-01,STR001,SKU0006,82,10,81,7,True
2026-06-08,STR001,SKU0006,81,6,78,7,True
2026-06-15,STR001,SKU0006,78,7,77,7,True
2026-06-22,STR001,SKU0006,77,9,82,7,True
2026-06-29,STR001,SKU0006,82,9,86,7,True
2026-07-06,STR001,SKU0006,86,8,81,7,True
2026-07-13,STR001,SKU0006,81,8,79,7,True
2026-07-20,STR001,SKU0006,79,8,80,7,True
2026-07-27,STR001,SKU0006,80,8,81,7,True
2026-08-03,STR001,SKU0006,81,9,80,7,True
2025-04-07,STR001,SKU0007,28,10,31,7,True
2025-04-14,STR001,SKU0007,31,9,35,7,True
2025-04-21,STR001,SKU0007,35,9,38,7,True
2025-04-28,STR001,SKU0007,38,7,37,7,True
2025-05-05,STR001,SKU0007,37,9,39,7,True
2025-05-12,STR001,SKU0007,39,10,41,7,True
2025-05-19,STR001,SKU0007,41,8,40,7,True
2025-05-26,STR001,SKU0007,40,11,45,7,True
2025-06-02,STR001,SKU0007,45,10,47,7,True
2025-06-09,STR001,SKU0007,47,10,51,7,True
2025-06-16,STR001,SKU0007,51,10,50,7,True
2025-06-23,STR001,SKU0007,50,11,52,7,True
2025-06-30,STR001,SKU0007,52,13,46,7,True
2025-07-07,STR001,SKU0007,46,10,50,7,True
2025-07-14,STR001,SKU0007,50,11,50,7,True
2025-07-21,STR001,SKU0007,50,9,51,7,True
2025-07-28,STR001,SKU0007,51,11,51,7,True
2025-08-04,STR001,SKU0007,51,11,55,7,True
2025-08-11,STR001,SKU0007,55,11,52,7,True
2025-08-18,STR001,SKU0007,52,12,54,7,True
2025-08-25,STR001,SKU0007,54,9,53,7,True
2025-09-01,STR001,SKU0007,53,11,53,7,True
2025-09-08,STR001,SKU0007,53,10,53,7,True
2025-09-15,STR001,SKU0007,53,9,56,7,True
2025-09-22,STR001,SKU0007,56,8,53,7,True
2025-09-29,STR001,SKU0007,53,10,53,7,True
2025-10-06,STR001,SKU0007,53,7,52,7,True
2025-10-13,STR001,SKU0007,52,10,54,7,True
2025-10-20,STR001,SKU0007,54,11,57,7,True
2025-10-27,STR001,SKU0007,57,12,64,7,True
2025-11-03,STR001,SKU0007,64,11,66,7,True
2025-11-10,STR001,SKU0007,66,10,69,7,True
2025-11-17,STR001,SKU0007,69,7,71,7,True
2025-11-24,STR001,SKU0007,71,9,78,7,True
2025-12-01,STR001,SKU0007,78,9,82,7,True
2025-12-08,STR001,SKU0007,82,8,81,7,True
2025-12-15,STR001,SKU0007,81,8,76,7,True
2025-12-22,STR001,SKU0007,76,12,83,7,True
2025-12-29,STR001,SKU0007,83,11,85,7,True
2026-01-05,STR001,SKU0007,85,7,82,7,True
2026-01-12,STR001,SKU0007,82,10,85,7,True
2026-01-19,STR001,SKU0007,85,17,90,7,True
2026-01-26,STR001,SKU0007,90,17,97,7,True
2026-02-02,STR001,SKU0007,97,12,103,7,True
2026-02-09,STR001,SKU0007,103,14,107,7,True
2026-02-16,STR001,SKU0007,107,11,101,7,True
2026-02-23,STR001,SKU0007,101,10,103,7,True
2026-03-02,STR001,SKU0007,103,10,108,7,True
2026-03-09,STR001,SKU0007,108,8,108,7,True
2026-03-16,STR001,SKU0007,108,10,112,7,True
2026-03-23,STR001,SKU0007,112,10,116,7,True
2026-03-30,STR001,SKU0007,116,10,117,7,True
2026-04-06,STR001,SKU0007,117,9,119,7,True
2026-04-13,STR001,SKU0007,119,9,117,7,True
2026-04-20,STR001,SKU0007,117,9,118,7,True
2026-04-27,STR001,SKU0007,118,8,118,7,True
2026-05-04,STR001,SKU0007,118,10,124,7,True
2026-05-11,STR001,SKU0007,124,7,117,7,True
2026-05-18,STR001,SKU0007,117,10,119,7,True
2026-05-25,STR001,SKU0007,119,10,117,7,True
2026-06-01,STR001,SKU0007,117,14,117,7,True
2026-06-08,STR001,SKU0007,117,11,122,7,True
2026-06-15,STR001,SKU0007,122,13,129,7,True
2026-06-22,STR001,SKU0007,129,14,127,7,True
2026-06-29,STR001,SKU0007,127,15,131,7,True
2026-07-06,STR001,SKU0007,131,15,135,7,True
2026-07-13,STR001,SKU0007,135,13,129,7,True
2026-07-20,STR001,SKU0007,129,10,129,7,True
2026-07-27,STR001,SKU0007,129,11,127,7,True
2026-08-03,STR001,SKU0007,127,10,123,7,True
2025-03-17,STR001,SKU0008,22,8,24,7,True
2025-03-24,STR001,SKU0008,24,9,28,7,True
2025-03-31,STR001,SKU0008,28,6,30,7,True
2025-04-07,STR001,SKU0008,30,7,29,7,True
2025-04-14,STR001,SKU0008,29,7,28,7,True
2025-04-21,STR001,SKU0008,28,6,29,7,True
2025-04-28,STR001,SKU0008,29,8,28,7,True
2025-05-05,STR001,SKU0008,28,7,26,7,True
2025-05-12,STR001,SKU0008,26,6,27,7,True
2025-05-19,STR001,SKU0008,27,9,28,7,True
2025-05-26,STR001,SKU0008,28,9,28,7,True
2025-06-02,STR001,SKU0008,28,6,30,7,True
2025-06-09,STR001,SKU0008,30,9,34,7,True
2025-06-16,STR001,SKU0008,34,8,39,7,True
2025-06-23,STR001,SKU0008,39,9,42,7,True
2025-06-30,STR001,SKU0008,42,8,43,7,True
2025-07-07,STR001,SKU0008,43,6,43,7,True
2025-07-14,STR001,SKU0008,43,6,41,7,True
2025-07-21,STR001,SKU0008,41,6,41,7,True
2025-07-28,STR001,SKU0008,41,9,43,7,True
2025-08-04,STR001,SKU0008,43,7,43,7,True
2025-08-11,STR001,SKU0008,43,9,48,7,True
2025-08-18,STR001,SKU0008,48,14,45,7,True
2025-08-25,STR001,SKU0008,45,16,53,7,True
2025-09-01,STR001,SKU0008,53,9,57,7,True
2025-09-08,STR001,SKU0008,57,11,56,7,True
2025-09-15,STR001,SKU0008,56,13,59,7,True
2025-09-22,STR001,SKU0008,59,6,53,7,True
2025-09-29,STR001,SKU0008,53,7,55,7,True
2025-10-06,STR001,SKU0008,55,7,55,7,True
2025-10-13,STR001,SKU0008,55,9,53,7,True
2025-10-20,STR001,SKU0008,53,7,48,7,True
2025-10-27,STR001,SKU0008,48,7,49,7,True
2025-11-03,STR001,SKU0008,49,7,47,7,True
2025-11-10,STR001,SKU0008,47,8,50,7,True
2025-11-17,STR001,SKU0008,50,6,44,7,True
2025-11-24,STR001,SKU0008,44,7,46,7,True
2025-12-01,STR001,SKU0008,46,10,48,7,True
2025-12-08,STR001,SKU0008,48,8,50,7,True
2025-12-15,STR001,SKU0008,50,11,52,7,True
2025-12-22,STR001,SKU0008,52,12,51,7,True
2025-12-29,STR001,SKU0008,51,11,53,7,True
2026-01-05,STR001,SKU0008,53,12,54,7,True
2026-01-12,STR001,SKU0008,54,9,48,7,True
2026-01-19,STR001,SKU0008,48,12,49,7,True
2026-01-26,STR001,SKU0008,49,8,42,7,True
2026-02-02,STR001,SKU0008,42,9,44,7,True
2026-02-09,STR001,SKU0008,44,11,41,7,True
2026-02-16,STR001,SKU0008,41,7,35,7,True
2026-02-23,STR001,SKU0008,35,11,37,7,True
2026-03-02,STR001,SKU0008,37,6,34,7,True
2026-03-09,STR001,SKU0008,34,6,34,7,True
2026-03-16,STR001,SKU0008,34,7,34,7,True
2026-03-23,STR001,SKU0008,34,7,31,7,True
2026-03-30,STR001,SKU0008,31,6,28,7,True
2026-04-06,STR001,SKU0008,28,10,28,7,True
2026-04-13,STR001,SKU0008,28,7,28,7,True
2026-04-20,STR001,SKU0008,28,8,28,7,True
2026-04-27,STR001,SKU0008,28,8,31,7,True
2026-05-04,STR001,SKU0008,31,9,29,7,True
2026-05-11,STR001,SKU0008,29,10,31,7,True
2026-05-18,STR001,SKU0008,31,8,32,7,True
2026-05-25,STR001,SKU0008,32,6,35,7,True
2026-06-01,STR001,SKU0008,35,9,37,7,True
2026-06-08,STR001,SKU0008,37,9,38,7,True
2026-06-15,STR001,SKU0008,38,7,34,7,True
2026-06-22,STR001,SKU0008,34,10,37,7,True
2026-06-29,STR001,SKU0008,37,6,37,7,True
2026-07-06,STR001,SKU0008,37,7,39,7,True
2026-07-13,STR001,SKU0008,39,6,40,7,True
2026-07-20,STR001,SKU0008,40,9,40,7,True
2026-07-27,STR001,SKU0008,40,7,44,7,True
2026-08-03,STR001,SKU0008,44,6,37,7,True
2025-03-03,STR001,SKU0010,18,3,17,7,True
2025-03-10,STR001,SKU0010,17,3,19,7,True
2025-03-17,STR001,SKU0010,19,2,21,7,True
2025-03-24,STR001,SKU0010,21,3,19,7,True
2025-03-31,STR001,SKU0010,19,2,21,7,True
2025-04-07,STR001,SKU0010,21,3,18,7,True
2025-04-14,STR001,SKU0010,18,3,15,7,True
2025-04-21,STR001,SKU0010,15,3,17,7,True
2025-04-28,STR001,SKU0010,17,3,16,7,True
2025-05-05,STR001,SKU0010,16,4,18,7,True
2025-05-12,STR001,SKU0010,18,3,18,7,True
2025-05-19,STR001,SKU0010,18,3,13,7,True
2025-05-26,STR001,SKU0010,13,3,15,7,True
2025-06-02,STR001,SKU0010,15,3,14,7,True
2025-06-09,STR001,SKU0010,14,3,13,7,True
2025-06-16,STR001,SKU0010,13,3,14,7,True
2025-06-23,STR001,SKU0010,14,5,18,7,True
2025-06-30,STR001,SKU0010,18,4,17,7,True
2025-07-07,STR001,SKU0010,17,4,19,7,True
2025-07-14,STR001,SKU0010,19,4,20,7,True
2025-07-21,STR001,SKU0010,20,4,21,7,True
2025-07-28,STR001,SKU0010,21,5,23,7,True
2025-08-04,STR001,SKU0010,23,4,23,7,True
2025-08-11,STR001,SKU0010,23,4,23,7,True
2025-08-18,STR001,SKU0010,23,4,23,7,True
2025-08-25,STR001,SKU0010,23,3,25,7,True
2025-09-01,STR001,SKU0010,25,4,26,7,True
2025-09-08,STR001,SKU0010,26,3,28,7,True
2025-09-15,STR001,SKU0010,28,3,30,7,True
2025-09-22,STR001,SKU0010,30,3,30,7,True
2025-09-29,STR001,SKU0010,30,3,30,7,True
2025-10-06,STR001,SKU0010,30,4,30,7,True
2025-10-13,STR001,SKU0010,30,3,29,7,True
2025-10-20,STR001,SKU0010,29,4,30,7,True
2025-10-27,STR001,SKU0010,30,3,32,7,True
2025-11-03,STR001,SKU0010,32,4,35,7,True
2025-11-10,STR001,SKU0010,35,2,33,7,True
2025-11-17,STR001,SKU0010,33,3,34,7,True
2025-11-24,STR001,SKU0010,34,4,32,7,True
2025-12-01,STR001,SKU0010,32,4,33,7,True
2025-12-08,STR001,SKU0010,33,3,32,7,True
2025-12-15,STR001,SKU0010,32,3,34,7,True
2025-12-22,STR001,SKU0010,34,4,37,7,True
2025-12-29,STR001,SKU0010,37,3,37,7,True
2026-01-05,STR001,SKU0010,37,4,38,7,True
2026-01-12,STR001,SKU0010,38,4,39,7,True
2026-01-19,STR001,SKU0010,39,3,39,7,True
2026-01-26,STR001,SKU0010,39,3,37,7,True
2026-02-02,STR001,SKU0010,37,4,38,7,True
2026-02-09,STR001,SKU0010,38,5,41,7,True
2026-02-16,STR001,SKU0010,41,3,41,7,True
2026-02-23,STR001,SKU0010,41,4,40,7,True
2026-03-02,STR001,SKU0010,40,4,40,7,True
2026-03-09,STR001,SKU0010,40,3,40,7,True
2026-03-16,STR001,SKU0010,40,3,34,7,True
2026-03-23,STR001,SKU0010,34,3,34,7,True
2026-03-30,STR001,SKU0010,34,3,34,7,True
2026-04-06,STR001,SKU0010,34,3,32,7,True
2026-04-13,STR001,SKU0010,32,4,36,7,True
2026-04-20,STR001,SKU0010,36,3,36,7,True
2026-04-27,STR001,SKU0010,36,3,38,7,True
2026-05-04,STR001,SKU0010,38,3,40,7,True
2026-05-11,STR001,SKU0010,40,3,41,7,True
2026-05-18,STR001,SKU0010,41,3,42,7,True
2026-05-25,STR001,SKU0010,42,4,45,7,True
2026-06-01,STR001,SKU0010,45,3,45,7,True
2026-06-08,STR001,SKU0010,45,5,47,7,True
2026-06-15,STR001,SKU0010,47,3,44,7,True
2026-06-22,STR001,SKU0010,44,5,43,7,True
2026-06-29,STR001,SKU0010,43,4,47,7,True
2026-07-06,STR001,SKU0010,47,5,50,7,True
2026-07-13,STR001,SKU0010,50,3,47,7,True
2026-07-20,STR001,SKU0010,47,4,48,7,True
2026-07-27,STR001,SKU0010,48,4,47,7,True
2026-08-03,STR001,SKU0010,47,4,46,7,True
2025-05-05,STR001,SKU0013,32,7,36,7,True
2025-05-12,STR001,SKU0013,36,11,37,7,True
2025-05-19,STR001,SKU0013,37,10,39,7,True
2025-05-26,STR001,SKU0013,39,10,39,7,True
2025-06-02,STR001,SKU0013,39,9,44,7,True
2025-06-09,STR001,SKU0013,44,10,42,7,True
2025-06-16,STR001,SKU0013,42,10,46,7,True
2025-06-23,STR001,SKU0013,46,10,48,7,True
2025-06-30,STR001,SKU0013,48,7,42,7,True
2025-07-07,STR001,SKU0013,42,11,50,7,True
2025-07-14,STR001,SKU0013,50,7,48,7,True
2025-07-21,STR001,SKU0013,48,9,48,7,True
2025-07-28,STR001,SKU0013,48,10,54,7,True
2025-08-04,STR001,SKU0013,54,9,53,7,True
2025-08-11,STR001,SKU0013,53,9,56,7,True
2025-08-18,STR001,SKU0013,56,9,60,7,True
2025-08-25,STR001,SKU0013,60,8,57,7,True
2025-09-01,STR001,SKU0013,57,8,59,7,True
2025-09-08,STR001,SKU0013,59,11,59,7,True
2025-09-15,STR001,SKU0013,59,7,56,7,True
2025-09-22,STR001,SKU0013,56,8,55,7,True
2025-09-29,STR001,SKU0013,55,11,61,7,True
2025-10-06,STR001,SKU0013,61,10,62,7,True
2025-10-13,STR001,SKU0013,62,10,64,7,True
2025-10-20,STR001,SKU0013,64,9,65,7,True
2025-10-27,STR001,SKU0013,65,9,62,7,True
2025-11-03,STR001,SKU0013,62,9,60,7,True
2025-11-10,STR001,SKU0013,60,9,62,7,True
2025-11-17,STR001,SKU0013,62,8,64,7,True
2025-11-24,STR001,SKU0013,64,9,66,7,True
2025-12-01,STR001,SKU0013,66,8,63,7,True
2025-12-08,STR001,SKU0013,63,10,62,7,True
2025-12-15,STR001,SKU0013,62,9,61,7,True
2025-12-22,STR001,SKU0013,61,8,62,7,True
2025-12-29,STR001,SKU0013,62,12,67,7,True
2026-01-05,STR001,SKU0013,67,11,68,7,True
2026-01-12,STR001,SKU0013,68,8,70,7,True
2026-01-19,STR001,SKU0013,70,8,72,7,True
2026-01-26,STR001,SKU0013,72,8,69,7,True
2026-02-02,STR001,SKU0013,69,10,69,7,True
2026-02-09,STR001,SKU0013,69,11,72,7,True
2026-02-16,STR001,SKU0013,72,11,74,7,True
2026-02-23,STR001,SKU0013,74,9,72,7,True
2026-03-02,STR001,SKU0013,72,10,78,7,True
2026-03-09,STR001,SKU0013,78,10,83,7,True
2026-03-16,STR001,SKU0013,83,11,85,7,True
2026-03-23,STR001,SKU0013,85,8,88,7,True
2026-03-30,STR001,SKU0013,88,10,88,7,True
2026-04-06,STR001,SKU0013,88,7,89,7,True
2026-04-13,STR001,SKU0013,89,11,95,7,True
2026-04-20,STR001,SKU0013,95,8,93,7,True
2026-04-27,STR001,SKU0013,93,8,99,7,True
2026-05-04,STR001,SKU0013,99,8,94,7,True
2026-05-11,STR001,SKU0013,94,7,91,7,True
2026-05-18,STR001,SKU0013,91,11,96,7,True
2026-05-25,STR001,SKU0013,96,8,99,7,True
2026-06-01,STR001,SKU0013,99,11,101,7,True
2026-06-08,STR001,SKU0013,101,11,101,7,True
2026-06-15,STR001,SKU0013,101,8,101,7,True
2026-06-22,STR001,SKU0013,101,10,102,7,True
2026-06-29,STR001,SKU0013,102,12,104,7,True
2026-07-06,STR001,SKU0013,104,9,104,7,True
2026-07-13,STR001,SKU0013,104,11,110,7,True
2026-07-20,STR001,SKU0013,110,12,111,7,True
2026-07-27,STR001,SKU0013,111,10,110,7,True
2026-08-03,STR001,SKU0013,110,8,111,7,True
2025-02-17,STR001,SKU0015,17,9,18,7,True
2025-02-24,STR001,SKU0015,18,11,19,7,True
2025-03-03,STR001,SKU0015,19,7,19,7,True
2025-03-10,STR001,SKU0015,19,10,20,7,True
2025-03-17,STR001,SKU0015,20,10,23,7,True
2025-03-24,STR001,SKU0015,23,7,23,7,True
2025-03-31,STR001,SKU0015,23,6,25,7,True
2025-04-07,STR001,SKU0015,25,8,20,7,True
2025-04-14,STR001,SKU0015,20,10,21,7,True
2025-04-21,STR001,SKU0015,21,8,21,7,True
2025-04-28,STR001,SKU0015,21,8,16,7,True
2025-05-05,STR001,SKU0015,16,10,17,7,True
2025-05-12,STR001,SKU0015,17,8,18,7,True
2025-05-19,STR001,SKU0015,18,7,17,7,True
2025-05-26,STR001,SKU0015,17,10,14,7,True
2025-06-02,STR001,SKU0015,14,10,21,7,True
2025-06-09,STR001,SKU0015,21,7,22,7,True
2025-06-16,STR001,SKU0015,22,11,21,7,True
2025-06-23,STR001,SKU0015,21,11,22,7,True
2025-06-30,STR001,SKU0015,22,10,20,7,True
2025-07-07,STR001,SKU0015,20,10,15,7,True
2025-07-14,STR001,SKU0015,15,10,17,7,True
2025-07-21,STR001,SKU0015,17,10,23,7,True
