delivery_event_id,po_line_id,purchase_order_id,supplier_id,product_id,destination_store_id,order_date,expected_delivery_date,actual_delivery_date,ordered_units,received_units,line_status
DEV0000074,POL000066,PO00014,SUP012,SKU0006,STR007,2025-02-28,2025-03-10,2025-03-10,130,130,Complete
DEV0000075,POL000067,PO00014,SUP011,SKU0009,STR014,2025-02-28,2025-03-10,2025-03-12,53,29,Complete
DEV0000076,POL000067,PO00014,SUP011,SKU0009,STR014,2025-02-28,2025-03-10,2025-03-13,53,24,Complete
DEV0000077,POL000068,PO00014,SUP005,SKU0012,STR021,2025-02-28,2025-03-10,2025-03-08,134,134,Complete
DEV0000078,POL000069,PO00014,SUP004,SKU0015,STR004,2025-02-28,2025-03-10,2025-03-10,81,81,Complete
DEV0000079,POL000070,PO00014,SUP010,SKU0018,STR011,2025-02-28,2025-03-10,2025-03-10,97,84,Partially Received
DEV0000080,POL000071,PO00015,SUP004,SKU0021,STR018,2025-02-28,2025-03-10,2025-03-09,110,110,Complete
DEV0000081,POL000072,PO00015,SUP003,SKU0024,STR001,2025-02-28,2025-03-10,2025-03-10,51,51,Complete
DEV0000082,POL000073,PO00015,SUP009,SKU0027,STR008,2025-02-28,2025-03-10,2025-03-10,57,57,Complete
DEV0000083,POL000074,PO00015,SUP008,SKU0030,STR015,2025-02-28,2025-03-10,2025-03-09,99,99,Complete
DEV0000084,POL000075,PO00015,SUP002,SKU0033,STR022,2025-02-28,2025-03-10,2025-03-08,70,70,Complete
DEV0000085,POL000076,PO00016,SUP001,SKU0036,STR005,2025-02-28,2025-03-10,2025-03-09,33,33,Complete
DEV0000086,POL000077,PO00016,SUP007,SKU0039,STR012,2025-02-28,2025-03-10,2025-03-13,94,94,Complete
DEV0000087,POL000078,PO00016,SUP001,SKU0042,STR019,2025-02-28,2025-03-10,2025-03-08,123,44,Partially Received
DEV0000088,POL000078,PO00016,SUP001,SKU0042,STR019,2025-02-28,2025-03-10,2025-03-09,123,49,Partially Received
DEV0000089,POL000079,PO00016,SUP012,SKU0045,STR002,2025-02-28,2025-03-10,2025-03-10,133,133,Complete
DEV0000090,POL000080,PO00016,SUP006,SKU0048,STR009,2025-02-28,2025-03-10,2025-03-14,87,87,Complete
DEV0000091,POL000081,PO00017,SUP005,SKU0051,STR016,2025-02-28,2025-03-10,2025-03-08,116,116,Complete
DEV0000092,POL000082,PO00017,SUP011,SKU0054,STR023,2025-02-28,2025-03-10,2025-03-15,76,76,Complete
DEV0000093,POL000083,PO00017,SUP010,SKU0057,STR006,2025-02-28,2025-03-10,2025-03-08,75,75,Complete
DEV0000094,POL000084,PO00017,SUP004,SKU0060,STR013,2025-02-28,2025-03-10,2025-03-09,27,27,Complete
DEV0000095,POL000085,PO00017,SUP010,SKU0063,STR020,2025-02-28,2025-03-10,2025-03-09,56,56,Complete
DEV0000096,POL000086,PO00018,SUP009,SKU0066,STR003,2025-02-28,2025-03-10,2025-03-10,61,61,Complete
DEV0000097,POL000087,PO00018,SUP003,SKU0069,STR010,2025-02-28,2025-03-10,2025-03-09,110,53,Complete
DEV0000098,POL000087,PO00018,SUP003,SKU0069,STR010,2025-02-28,2025-03-10,2025-03-10,110,57,Complete
DEV0000099,POL000088,PO00018,SUP002,SKU0072,STR017,2025-02-28,2025-03-10,2025-03-10,59,59,Complete
DEV0000100,POL000089,PO00018,SUP008,SKU0075,STR024,2025-02-28,2025-03-10,2025-03-10,134,134,Complete
DEV0000101,POL000090,PO00018,SUP007,SKU0078,STR007,2025-02-28,2025-03-10,2025-03-09,118,118,Complete
DEV0000102,POL000091,PO00019,SUP001,SKU0081,STR014,2025-02-28,2025-03-10,2025-03-08,82,82,Complete
DEV0000103,POL000092,PO00019,SUP007,SKU0084,STR021,2025-02-28,2025-03-10,2025-03-09,101,101,Complete
DEV0000104,POL000093,PO00019,SUP006,SKU0087,STR004,2025-02-28,2025-03-10,2025-03-09,98,66,Complete
DEV0000105,POL000093,PO00019,SUP006,SKU0087,STR004,2025-02-28,2025-03-10,2025-03-10,98,32,Complete
DEV0000106,POL000094,PO00019,SUP012,SKU0090,STR011,2025-02-28,2025-03-10,2025-03-07,51,28,Complete
DEV0000107,POL000094,PO00019,SUP012,SKU0090,STR011,2025-02-28,2025-03-10,2025-03-08,51,23,Complete
DEV0000108,POL000095,PO00019,SUP011,SKU0093,STR018,2025-02-28,2025-03-10,2025-03-10,33,33,Complete
DEV0000109,POL000096,PO00020,SUP005,SKU0096,STR001,2025-02-28,2025-03-10,2025-03-07,74,51,Complete
DEV0000110,POL000096,PO00020,SUP005,SKU0096,STR001,2025-02-28,2025-03-10,2025-03-08,74,23,Complete
DEV0000111,POL000097,PO00020,SUP012,SKU0002,STR008,2025-03-07,2025-03-17,2025-03-16,115,115,Complete
DEV0000112,POL000098,PO00020,SUP006,SKU0005,STR015,2025-03-07,2025-03-17,2025-03-15,85,85,Complete
DEV0000113,POL000099,PO00020,SUP005,SKU0008,STR022,2025-03-07,2025-03-17,2025-03-17,97,97,Complete
DEV0000114,POL000100,PO00020,SUP011,SKU0011,STR005,2025-03-07,2025-03-17,2025-03-14,89,52,Complete
DEV0000115,POL000100,PO00020,SUP011,SKU0011,STR005,2025-03-07,2025-03-17,2025-03-15,89,37,Complete
DEV0000116,POL000101,PO00021,SUP005,SKU0014,STR012,2025-03-07,2025-03-17,2025-03-15,104,104,Complete
DEV0000117,POL000102,PO00021,SUP004,SKU0017,STR019,2025-03-07,2025-03-17,2025-03-16,130,83,Complete
DEV0000118,POL000102,PO00021,SUP004,SKU0017,STR019,2025-03-07,2025-03-17,2025-03-17,130,47,Complete
DEV0000119,POL000103,PO00021,SUP010,SKU0020,STR002,2025-03-07,2025-03-17,2025-03-16,83,83,Complete
DEV0000120,POL000104,PO00021,SUP009,SKU0023,STR009,2025-03-07,2025-03-17,2025-03-16,96,48,Complete
DEV0000121,POL000104,PO00021,SUP009,SKU0023,STR009,2025-03-07,2025-03-17,2025-03-17,96,48,Complete
DEV0000122,POL000105,PO00021,SUP003,SKU0026,STR016,2025-03-07,2025-03-17,2025-03-19,44,44,Complete
DEV0000123,POL000106,PO00022,SUP002,SKU0029,STR023,2025-03-07,2025-03-17,2025-03-21,135,101,Complete
DEV0000124,POL000106,PO00022,SUP002,SKU0029,STR023,2025-03-07,2025-03-17,2025-03-22,135,34,Complete
DEV0000125,POL000107,PO00022,SUP008,SKU0032,STR006,2025-03-07,2025-03-17,2025-03-16,102,102,Complete
DEV0000126,POL000108,PO00022,SUP002,SKU0035,STR013,2025-03-07,2025-03-17,2025-03-17,136,118,Partially Received
DEV0000127,POL000109,PO00022,SUP001,SKU0038,STR020,2025-03-07,2025-03-17,2025-03-17,78,78,Complete
DEV0000128,POL000110,PO00022,SUP007,SKU0041,STR003,2025-03-07,2025-03-17,2025-03-15,82,42,Complete
DEV0000129,POL000110,PO00022,SUP007,SKU0041,STR003,2025-03-07,2025-03-17,2025-03-16,82,40,Complete
DEV0000130,POL000111,PO00023,SUP006,SKU0044,STR010,2025-03-07,2025-03-17,2025-03-17,76,76,Complete
DEV0000131,POL000112,PO00023,SUP012,SKU0047,STR017,2025-03-07,2025-03-17,2025-03-16,125,125,Complete
DEV0000132,POL000113,PO00023,SUP011,SKU0050,STR024,2025-03-07,2025-03-17,2025-03-16,51,51,Complete
DEV0000133,POL000114,PO00023,SUP005,SKU0053,STR007,2025-03-07,2025-03-17,2025-03-15,33,33,Complete
DEV0000134,POL000115,PO00023,SUP011,SKU0056,STR014,2025-03-07,2025-03-17,2025-03-15,85,85,Complete
DEV0000135,POL000116,PO00024,SUP010,SKU0059,STR021,2025-03-07,2025-03-17,2025-03-16,91,91,Complete
DEV0000136,POL000117,PO00024,SUP004,SKU0062,STR004,2025-03-07,2025-03-17,2025-03-15,93,93,Complete
DEV0000137,POL000118,PO00024,SUP003,SKU0065,STR011,2025-03-07,2025-03-17,2025-03-16,97,69,Complete
DEV0000138,POL000118,PO00024,SUP003,SKU0065,STR011,2025-03-07,2025-03-17,2025-03-17,97,28,Complete
DEV0000139,POL000119,PO00024,SUP009,SKU0068,STR018,2025-03-07,2025-03-17,2025-03-16,59,59,Complete
DEV0000140,POL000120,PO00024,SUP008,SKU0071,STR001,2025-03-07,2025-03-17,2025-03-16,45,39,Partially Received
DEV0000141,POL000121,PO00025,SUP002,SKU0074,STR008,2025-03-07,2025-03-17,2025-03-15,100,52,Complete
DEV0000142,POL000121,PO00025,SUP002,SKU0074,STR008,2025-03-07,2025-03-17,2025-03-16,100,48,Complete
DEV0000143,POL000122,PO00025,SUP008,SKU0077,STR015,2025-03-07,2025-03-17,2025-03-20,94,94,Complete
DEV0000144,POL000123,PO00025,SUP007,SKU0080,STR022,2025-03-07,2025-03-17,2025-03-16,83,43,Partially Received
DEV0000145,POL000123,PO00025,SUP007,SKU0080,STR022,2025-03-07,2025-03-17,2025-03-17,83,26,Partially Received
DEV0000146,POL000124,PO00025,SUP001,SKU0083,STR005,2025-03-07,2025-03-17,2025-03-14,119,78,Complete
DEV0000147,POL000124,PO00025,SUP001,SKU0083,STR005,2025-03-07,2025-03-17,2025-03-15,119,41,Complete
DEV0000148,POL000125,PO00025,SUP012,SKU0086,STR012,2025-03-07,2025-03-17,2025-03-16,77,77,Complete
DEV0000149,POL000126,PO00026,SUP006,SKU0089,STR019,2025-03-07,2025-03-17,2025-03-17,38,38,Complete
DEV0000150,POL000127,PO00026,SUP005,SKU0092,STR002,2025-03-07,2025-03-17,2025-03-15,69,69,Complete
DEV0000151,POL000128,PO00026,SUP011,SKU0095,STR009,2025-03-07,2025-03-17,2025-03-21,37,37,Complete
DEV0000152,POL000129,PO00026,SUP006,SKU0001,STR016,2025-03-14,2025-03-24,2025-03-22,93,93,Complete
DEV0000153,POL000130,PO00026,SUP012,SKU0004,STR023,2025-03-14,2025-03-24,2025-03-23,63,34,Complete
DEV0000154,POL000130,PO00026,SUP012,SKU0004,STR023,2025-03-14,2025-03-24,2025-03-24,63,29,Complete
DEV0000155,POL000131,PO00027,SUP006,SKU0007,STR006,2025-03-14,2025-03-24,2025-03-22,50,50,Complete
DEV0000156,POL000132,PO00027,SUP005,SKU0010,STR013,2025-03-14,2025-03-24,2025-03-22,127,127,Complete
DEV0000157,POL000133,PO00027,SUP011,SKU0013,STR020,2025-03-14,2025-03-24,2025-03-22,114,114,Complete
DEV0000158,POL000134,PO00027,SUP010,SKU0016,STR003,2025-03-14,2025-03-24,2025-03-21,88,44,Complete
DEV0000159,POL000134,PO00027,SUP010,SKU0016,STR003,2025-03-14,2025-03-24,2025-03-22,88,44,Complete
DEV0000160,POL000135,PO00027,SUP004,SKU0019,STR010,2025-03-14,2025-03-24,2025-03-23,41,34,Partially Received
DEV0000161,POL000136,PO00028,SUP003,SKU0022,STR017,2025-03-14,2025-03-24,2025-03-22,85,55,Complete
DEV0000162,POL000136,PO00028,SUP003,SKU0022,STR017,2025-03-14,2025-03-24,2025-03-23,85,30,Complete
DEV0000163,POL000137,PO00028,SUP009,SKU0025,STR024,2025-03-14,2025-03-24,2025-03-26,80,80,Complete
DEV0000164,POL000138,PO00028,SUP003,SKU0028,STR007,2025-03-14,2025-03-24,2025-03-21,70,41,Complete
DEV0000165,POL000138,PO00028,SUP003,SKU0028,STR007,2025-03-14,2025-03-24,2025-03-22,70,29,Complete
DEV0000166,POL000139,PO00028,SUP002,SKU0031,STR014,2025-03-14,2025-03-24,2025-03-22,93,93,Complete
DEV0000167,POL000140,PO00028,SUP008,SKU0034,STR021,2025-03-14,2025-03-24,2025-03-22,89,55,Complete
DEV0000168,POL000140,PO00028,SUP008,SKU0034,STR021,2025-03-14,2025-03-24,2025-03-23,89,34,Complete
DEV0000169,POL000141,PO00029,SUP007,SKU0037,STR004,2025-03-14,2025-03-24,2025-03-23,96,87,Partially Received
DEV0000170,POL000142,PO00029,SUP001,SKU0040,STR011,2025-03-14,2025-03-24,2025-03-24,126,126,Complete
DEV0000171,POL000143,PO00029,SUP012,SKU0043,STR018,2025-03-14,2025-03-24,2025-03-24,108,108,Complete
DEV0000172,POL000144,PO00029,SUP006,SKU0046,STR001,2025-03-14,2025-03-24,2025-03-23,77,55,Complete
DEV0000173,POL000144,PO00029,SUP006,SKU0046,STR001,2025-03-14,2025-03-24,2025-03-24,77,22,Complete
DEV0000174,POL000145,PO00029,SUP012,SKU0049,STR008,2025-03-14,2025-03-24,2025-03-22,76,36,Complete
DEV0000175,POL000145,PO00029,SUP012,SKU0049,STR008,2025-03-14,2025-03-24,2025-03-23,76,40,Complete
DEV0000176,POL000146,PO00030,SUP011,SKU0052,STR015,2025-03-14,2025-03-24,2025-03-24,125,125,Complete
DEV0000177,POL000147,PO00030,SUP005,SKU0055,STR022,2025-03-14,2025-03-24,2025-03-26,100,59,Complete
DEV0000178,POL000147,PO00030,SUP005,SKU0055,STR022,2025-03-14,2025-03-24,2025-03-27,100,41,Complete
DEV0000179,POL000148,PO00030,SUP004,SKU0058,STR005,2025-03-14,2025-03-24,2025-03-22,82,82,Complete
DEV0000180,POL000149,PO00030,SUP010,SKU0061,STR012,2025-03-14,2025-03-24,2025-03-22,124,124,Complete
DEV0000181,POL000150,PO00030,SUP009,SKU0064,STR019,2025-03-14,2025-03-24,2025-03-23,31,31,Complete
DEV0000182,POL000151,PO00031,SUP003,SKU0067,STR002,2025-03-14,2025-03-24,2025-03-23,82,82,Complete
DEV0000183,POL000152,PO00031,SUP009,SKU0070,STR009,2025-03-14,2025-03-24,2025-03-23,109,109,Complete
DEV0000184,POL000153,PO00031,SUP008,SKU0073,STR016,2025-03-14,2025-03-24,2025-03-22,56,56,Complete
DEV0000185,POL000154,PO00031,SUP002,SKU0076,STR023,2025-03-14,2025-03-24,2025-03-22,139,104,Partially Received
DEV0000186,POL000155,PO00031,SUP001,SKU0079,STR006,2025-03-14,2025-03-24,2025-03-24,51,51,Complete
DEV0000187,POL000156,PO00032,SUP007,SKU0082,STR013,2025-03-14,2025-03-24,2025-03-24,50,50,Complete
DEV0000188,POL000157,PO00032,SUP006,SKU0085,STR020,2025-03-14,2025-03-24,2025-03-22,130,130,Complete
DEV0000189,POL000158,PO00032,SUP012,SKU0088,STR003,2025-03-14,2025-03-24,2025-03-23,31,24,Partially Received
DEV0000190,POL000159,PO00032,SUP006,SKU0091,STR010,2025-03-14,2025-03-24,2025-03-29,51,51,Complete
DEV0000191,POL000160,PO00032,SUP005,SKU0094,STR017,2025-03-14,2025-03-24,2025-03-23,78,78,Complete
DEV0000192,POL000161,PO00033,SUP006,SKU0003,STR024,2025-03-21,2025-03-31,2025-03-31,71,71,Complete
DEV0000193,POL000162,PO00033,SUP012,SKU0006,STR007,2025-03-21,2025-03-31,2025-03-31,140,140,Complete
DEV0000194,POL000163,PO00033,SUP011,SKU0009,STR014,2025-03-21,2025-03-31,2025-03-31,66,66,Complete
DEV0000195,POL000164,PO00033,SUP005,SKU0012,STR021,2025-03-21,2025-03-31,2025-03-30,39,39,Complete
DEV0000196,POL000165,PO00033,SUP004,SKU0015,STR004,2025-03-21,2025-03-31,2025-03-30,60,60,Complete
DEV0000197,POL000166,PO00034,SUP010,SKU0018,STR011,2025-03-21,2025-03-31,2025-03-31,25,25,Complete
DEV0000198,POL000167,PO00034,SUP004,SKU0021,STR018,2025-03-21,2025-03-31,2025-03-31,56,56,Complete
DEV0000199,POL000168,PO00034,SUP003,SKU0024,STR001,2025-03-21,2025-03-31,2025-03-29,83,83,Complete
DEV0000200,POL000169,PO00034,SUP009,SKU0027,STR008,2025-03-21,2025-03-31,2025-03-31,57,37,Complete
DEV0000201,POL000169,PO00034,SUP009,SKU0027,STR008,2025-03-21,2025-03-31,2025-04-01,57,20,Complete
DEV0000202,POL000170,PO00034,SUP008,SKU0030,STR015,2025-03-21,2025-03-31,2025-03-29,35,35,Complete
DEV0000203,POL000171,PO00035,SUP002,SKU0033,STR022,2025-03-21,2025-03-31,2025-03-30,29,29,Complete
DEV0000204,POL000172,PO00035,SUP001,SKU0036,STR005,2025-03-21,2025-03-31,2025-03-30,129,129,Complete
DEV0000205,POL000173,PO00035,SUP007,SKU0039,STR012,2025-03-21,2025-03-31,2025-03-30,36,31,Partially Received
DEV0000206,POL000174,PO00035,SUP001,SKU0042,STR019,2025-03-21,2025-03-31,2025-03-29,59,59,Complete
DEV0000207,POL000175,PO00035,SUP012,SKU0045,STR002,2025-03-21,2025-03-31,2025-03-29,99,99,Complete
DEV0000208,POL000176,PO00036,SUP006,SKU0048,STR009,2025-03-21,2025-03-31,2025-03-31,77,77,Complete
DEV0000209,POL000177,PO00036,SUP005,SKU0051,STR016,2025-03-21,2025-03-31,2025-04-05,79,79,Complete
DEV0000210,POL000178,PO00036,SUP011,SKU0054,STR023,2025-03-21,2025-03-31,2025-03-29,48,48,Complete
DEV0000211,POL000179,PO00036,SUP010,SKU0057,STR006,2025-03-21,2025-03-31,2025-03-31,93,93,Complete
DEV0000212,POL000180,PO00036,SUP004,SKU0060,STR013,2025-03-21,2025-03-31,2025-04-02,57,57,Complete
DEV0000213,POL000181,PO00037,SUP010,SKU0063,STR020,2025-03-21,2025-03-31,2025-03-30,80,52,Complete
DEV0000214,POL000181,PO00037,SUP010,SKU0063,STR020,2025-03-21,2025-03-31,2025-03-31,80,28,Complete
DEV0000215,POL000182,PO00037,SUP009,SKU0066,STR003,2025-03-21,2025-03-31,2025-03-29,30,30,Complete
DEV0000216,POL000183,PO00037,SUP003,SKU0069,STR010,2025-03-21,2025-03-31,2025-03-29,72,72,Complete
DEV0000217,POL000184,PO00037,SUP002,SKU0072,STR017,2025-03-21,2025-03-31,2025-03-29,65,65,Complete
DEV0000218,POL000185,PO00037,SUP008,SKU0075,STR024,2025-03-21,2025-03-31,2025-03-31,100,100,Complete
DEV0000219,POL000186,PO00038,SUP007,SKU0078,STR007,2025-03-21,2025-03-31,2025-03-30,133,133,Complete
DEV0000220,POL000187,PO00038,SUP001,SKU0081,STR014,2025-03-21,2025-03-31,2025-03-31,43,43,Complete
DEV0000221,POL000188,PO00038,SUP007,SKU0084,STR021,2025-03-21,2025-03-31,2025-03-31,107,107,Complete
DEV0000222,POL000189,PO00038,SUP006,SKU0087,STR004,2025-03-21,2025-03-31,2025-03-29,129,129,Complete
DEV0000223,POL000190,PO00038,SUP012,SKU0090,STR011,2025-03-21,2025-03-31,2025-03-30,140,140,Complete
DEV0000224,POL000191,PO00039,SUP011,SKU0093,STR018,2025-03-21,2025-03-31,2025-03-30,73,73,Complete
DEV0000225,POL000192,PO00039,SUP005,SKU0096,STR001,2025-03-21,2025-03-31,2025-03-29,62,62,Complete
DEV0000226,POL000193,PO00039,SUP012,SKU0002,STR008,2025-03-28,2025-04-07,2025-04-07,103,103,Complete
