week_start,store_id,product_id,promotion_id,units_sold,gross_sales,discount_value,net_sales,cost_of_goods,returns_units
2025-11-10,STR001,SKU0003,,7,309.05,0.00,309.05,140.56,0
2025-11-17,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-11-24,STR001,SKU0003,,12,529.80,0.00,529.80,240.96,0
2025-12-01,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-12-08,STR001,SKU0003,,5,220.75,0.00,220.75,100.40,0
2025-12-15,STR001,SKU0003,,13,573.95,0.00,573.95,261.04,0
2025-12-22,STR001,SKU0003,,17,750.55,0.00,750.55,341.36,0
2025-12-29,STR001,SKU0003,,3,132.45,0.00,132.45,60.24,0
2026-01-05,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2026-01-12,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2026-01-19,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2026-01-26,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2026-02-02,STR001,SKU0003,,7,309.05,0.00,309.05,140.56,0
2026-02-09,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2026-02-16,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2026-02-23,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2026-03-02,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2026-03-09,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2026-03-16,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2026-03-23,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2026-03-30,STR001,SKU0003,,8,353.20,0.00,353.20,160.64,0
2026-04-06,STR001,SKU0003,,5,220.75,0.00,220.75,100.40,0
2026-04-13,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2026-04-20,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2026-04-27,STR001,SKU0003,,8,353.20,0.00,353.20,160.64,0
2026-05-04,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2026-05-11,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2026-05-18,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2026-05-25,STR001,SKU0003,,8,353.20,0.00,353.20,160.64,0
2026-06-01,STR001,SKU0003,,12,529.80,0.00,529.80,240.96,0
2026-06-08,STR001,SKU0003,,19,838.85,0.00,838.85,381.52,0
2026-06-15,STR001,SKU0003,,8,353.20,0.00,353.20,160.64,0
2026-06-22,STR001,SKU0003,,17,750.55,0.00,750.55,341.36,0
2026-06-29,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2026-07-06,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2026-07-13,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2026-07-20,STR001,SKU0003,,13,573.95,0.00,573.95,261.04,0
2026-07-27,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2026-08-03,STR001,SKU0003,,16,706.40,0.00,706.40,321.28,0
2025-06-09,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2025-06-16,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-06-23,STR001,SKU0006,,6,208.98,0.00,208.98,103.50,0
2025-06-30,STR001,SKU0006,,3,104.49,0.00,104.49,51.75,0
2025-07-07,STR001,SKU0006,,9,313.47,0.00,313.47,155.25,0
2025-07-14,STR001,SKU0006,,5,174.15,0.00,174.15,86.25,0
2025-07-21,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2025-07-28,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-08-04,STR001,SKU0006,,3,104.49,0.00,104.49,51.75,0
2025-08-11,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-08-18,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-08-25,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2025-09-01,STR001,SKU0006,,12,417.96,0.00,417.96,207.00,0
2025-09-08,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2025-09-15,STR001,SKU0006,,5,174.15,0.00,174.15,86.25,0
2025-09-22,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2025-09-29,STR001,SKU0006,,9,313.47,0.00,313.47,155.25,0
2025-10-06,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-10-13,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2025-10-20,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2025-10-27,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2025-11-03,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-11-10,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-11-17,STR001,SKU0006,,6,208.98,0.00,208.98,103.50,0
2025-11-24,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-12-01,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2025-12-08,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2025-12-15,STR001,SKU0006,,5,174.15,0.00,174.15,86.25,0
2025-12-22,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2025-12-29,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-01-05,STR001,SKU0006,,6,208.98,0.00,208.98,103.50,0
2026-01-12,STR001,SKU0006,,10,348.30,0.00,348.30,172.50,0
2026-01-19,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-01-26,STR001,SKU0006,PRM024,17,592.11,106.59,485.52,293.25,0
2026-02-02,STR001,SKU0006,PRM024,19,661.77,119.13,542.64,327.75,0
2026-02-09,STR001,SKU0006,,9,313.47,0.00,313.47,155.25,0
2026-02-16,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-02-23,STR001,SKU0006,,6,208.98,0.00,208.98,103.50,0
2026-03-02,STR001,SKU0006,,10,348.30,0.00,348.30,172.50,0
2026-03-09,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-03-16,STR001,SKU0006,,5,174.15,0.00,174.15,86.25,0
2026-03-23,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2026-03-30,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2026-04-06,STR001,SKU0006,,11,383.13,0.00,383.13,189.75,0
2026-04-13,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-04-20,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2026-04-27,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-05-04,STR001,SKU0006,,3,104.49,0.00,104.49,51.75,0
2026-05-11,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-05-18,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-05-25,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-06-01,STR001,SKU0006,,11,383.13,0.00,383.13,189.75,0
2026-06-08,STR001,SKU0006,,9,313.47,0.00,313.47,155.25,0
2026-06-15,STR001,SKU0006,,8,278.64,0.00,278.64,138.00,0
2026-06-22,STR001,SKU0006,,4,139.32,0.00,139.32,69.00,0
2026-06-29,STR001,SKU0006,,5,174.15,0.00,174.15,86.25,0
2026-07-06,STR001,SKU0006,,13,452.79,0.00,452.79,224.25,0
2026-07-13,STR001,SKU0006,,10,348.30,0.00,348.30,172.50,0
2026-07-20,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-07-27,STR001,SKU0006,,7,243.81,0.00,243.81,120.75,0
2026-08-03,STR001,SKU0006,,10,348.30,0.00,348.30,172.50,0
2025-04-07,STR001,SKU0007,,7,173.25,0.00,173.25,96.46,0
2025-04-14,STR001,SKU0007,,5,123.75,0.00,123.75,68.90,0
2025-04-21,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2025-04-28,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-05-05,STR001,SKU0007,,7,173.25,0.00,173.25,96.46,0
2025-05-12,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-05-19,STR001,SKU0007,,9,222.75,0.00,222.75,124.02,0
2025-05-26,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2025-06-02,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-06-09,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2025-06-16,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2025-06-23,STR001,SKU0007,,9,222.75,0.00,222.75,124.02,0
2025-06-30,STR001,SKU0007,,19,470.25,0.00,470.25,261.82,0
2025-07-07,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2025-07-14,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2025-07-21,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-07-28,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2025-08-04,STR001,SKU0007,,7,173.25,0.00,173.25,96.46,0
2025-08-11,STR001,SKU0007,,14,346.50,0.00,346.50,192.92,0
2025-08-18,STR001,SKU0007,,10,247.50,0.00,247.50,137.80,0
2025-08-25,STR001,SKU0007,,10,247.50,0.00,247.50,137.80,0
2025-09-01,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2025-09-08,STR001,SKU0007,,10,247.50,0.00,247.50,137.80,0
2025-09-15,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2025-09-22,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2025-09-29,STR001,SKU0007,,10,247.50,0.00,247.50,137.80,0
2025-10-06,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-10-13,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-10-20,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2025-10-27,STR001,SKU0007,,5,123.75,0.00,123.75,68.90,0
2025-11-03,STR001,SKU0007,,9,222.75,0.00,222.75,124.02,0
2025-11-10,STR001,SKU0007,,7,173.25,0.00,173.25,96.46,0
2025-11-17,STR001,SKU0007,,5,123.75,0.00,123.75,68.90,0
2025-11-24,STR001,SKU0007,,2,49.50,0.00,49.50,27.56,0
2025-12-01,STR001,SKU0007,,5,123.75,0.00,123.75,68.90,0
2025-12-08,STR001,SKU0007,,9,222.75,0.00,222.75,124.02,0
2025-12-15,STR001,SKU0007,,13,321.75,0.00,321.75,179.14,0
2025-12-22,STR001,SKU0007,,5,123.75,0.00,123.75,68.90,0
2025-12-29,STR001,SKU0007,,9,222.75,0.00,222.75,124.02,0
2026-01-05,STR001,SKU0007,,10,247.50,0.00,247.50,137.80,0
2026-01-12,STR001,SKU0007,,7,173.25,0.00,173.25,96.46,0
2026-01-19,STR001,SKU0007,PRM033,12,297.00,68.28,228.72,165.36,0
2026-01-26,STR001,SKU0007,PRM033,10,247.50,56.90,190.60,137.80,0
2026-02-02,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2026-02-09,STR001,SKU0007,PRM006,10,247.50,69.30,178.20,137.80,0
2026-02-16,STR001,SKU0007,PRM006,17,420.75,117.81,302.94,234.26,0
2026-02-23,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2026-03-02,STR001,SKU0007,,5,123.75,0.00,123.75,68.90,0
2026-03-09,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2026-03-16,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2026-03-23,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2026-03-30,STR001,SKU0007,,9,222.75,0.00,222.75,124.02,0
2026-04-06,STR001,SKU0007,,7,173.25,0.00,173.25,96.46,0
2026-04-13,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2026-04-20,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2026-04-27,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2026-05-04,STR001,SKU0007,,4,99.00,0.00,99.00,55.12,0
2026-05-11,STR001,SKU0007,,14,346.50,0.00,346.50,192.92,0
2026-05-18,STR001,SKU0007,,8,198.00,0.00,198.00,110.24,0
2026-05-25,STR001,SKU0007,,12,297.00,0.00,297.00,165.36,0
2026-06-01,STR001,SKU0007,,14,346.50,0.00,346.50,192.92,0
2026-06-08,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2026-06-15,STR001,SKU0007,,6,148.50,0.00,148.50,82.68,0
2026-06-22,STR001,SKU0007,,16,396.00,0.00,396.00,220.48,0
2026-06-29,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2026-07-06,STR001,SKU0007,,11,272.25,0.00,272.25,151.58,0
2026-07-13,STR001,SKU0007,,19,470.25,0.00,470.25,261.82,0
2026-07-20,STR001,SKU0007,,10,247.50,0.00,247.50,137.80,0
2026-07-27,STR001,SKU0007,,13,321.75,0.00,321.75,179.14,0
2026-08-03,STR001,SKU0007,,14,346.50,0.00,346.50,192.92,0
2025-03-17,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2025-03-24,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-03-31,STR001,SKU0008,,4,141.72,0.00,141.72,93.32,0
2025-04-07,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2025-04-14,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2025-04-21,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-04-28,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2025-05-05,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2025-05-12,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-05-19,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2025-05-26,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2025-06-02,STR001,SKU0008,,4,141.72,0.00,141.72,93.32,0
2025-06-09,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-06-16,STR001,SKU0008,,3,106.29,0.00,106.29,69.99,0
2025-06-23,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2025-06-30,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2025-07-07,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2025-07-14,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2025-07-21,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2025-07-28,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2025-08-04,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2025-08-11,STR001,SKU0008,,4,141.72,0.00,141.72,93.32,0
2025-08-18,STR001,SKU0008,PRM039,17,602.31,198.73,403.58,396.61,0
2025-08-25,STR001,SKU0008,PRM039,8,283.44,93.52,189.92,186.64,0
2025-09-01,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-09-08,STR001,SKU0008,PRM012,12,425.16,76.56,348.60,279.96,0
2025-09-15,STR001,SKU0008,PRM012,10,354.30,63.80,290.50,233.30,0
2025-09-22,STR001,SKU0008,,12,425.16,0.00,425.16,279.96,0
2025-09-29,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-10-06,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2025-10-13,STR001,SKU0008,,11,389.73,0.00,389.73,256.63,0
2025-10-20,STR001,SKU0008,,12,425.16,0.00,425.16,279.96,0
2025-10-27,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2025-11-03,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2025-11-10,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-11-17,STR001,SKU0008,,12,425.16,0.00,425.16,279.96,0
2025-11-24,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2025-12-01,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2025-12-08,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2025-12-15,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2025-12-22,STR001,SKU0008,,13,460.59,0.00,460.59,303.29,0
2025-12-29,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2026-01-05,STR001,SKU0008,,11,389.73,0.00,389.73,256.63,0
2026-01-12,STR001,SKU0008,,15,531.45,0.00,531.45,349.95,0
2026-01-19,STR001,SKU0008,,11,389.73,0.00,389.73,256.63,0
2026-01-26,STR001,SKU0008,,15,531.45,0.00,531.45,349.95,0
2026-02-02,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2026-02-09,STR001,SKU0008,,14,496.02,0.00,496.02,326.62,0
2026-02-16,STR001,SKU0008,,13,460.59,0.00,460.59,303.29,0
2026-02-23,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2026-03-02,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2026-03-09,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2026-03-16,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2026-03-23,STR001,SKU0008,,10,354.30,0.00,354.30,233.30,0
2026-03-30,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2026-04-06,STR001,SKU0008,,10,354.30,0.00,354.30,233.30,0
2026-04-13,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2026-04-20,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2026-04-27,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2026-05-04,STR001,SKU0008,,11,389.73,0.00,389.73,256.63,0
2026-05-11,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2026-05-18,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2026-05-25,STR001,SKU0008,,3,106.29,0.00,106.29,69.99,0
2026-06-01,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2026-06-08,STR001,SKU0008,,8,283.44,0.00,283.44,186.64,0
2026-06-15,STR001,SKU0008,,11,389.73,0.00,389.73,256.63,0
2026-06-22,STR001,SKU0008,,7,248.01,0.00,248.01,163.31,0
2026-06-29,STR001,SKU0008,,6,212.58,0.00,212.58,139.98,0
2026-07-06,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2026-07-13,STR001,SKU0008,,5,177.15,0.00,177.15,116.65,0
2026-07-20,STR001,SKU0008,,9,318.87,0.00,318.87,209.97,0
2026-07-27,STR001,SKU0008,,3,106.29,0.00,106.29,69.99,0
2026-08-03,STR001,SKU0008,,13,460.59,0.00,460.59,303.29,0
2025-03-03,STR001,SKU0010,,4,72.52,0.00,72.52,35.12,0
2025-03-10,STR001,SKU0010,,1,18.13,0.00,18.13,8.78,0
2025-03-17,STR001,SKU0010,,0,0.00,0.00,0.00,0.00,0
2025-03-24,STR001,SKU0010,,5,90.65,0.00,90.65,43.90,0
2025-03-31,STR001,SKU0010,,0,0.00,0.00,0.00,0.00,0
2025-04-07,STR001,SKU0010,,6,108.78,0.00,108.78,52.68,0
2025-04-14,STR001,SKU0010,,6,108.78,0.00,108.78,52.68,0
2025-04-21,STR001,SKU0010,,1,18.13,0.00,18.13,8.78,0
2025-04-28,STR001,SKU0010,,4,72.52,0.00,72.52,35.12,0
2025-05-05,STR001,SKU0010,,2,36.26,0.00,36.26,17.56,0
2025-05-12,STR001,SKU0010,,3,54.39,0.00,54.39,26.34,0
2025-05-19,STR001,SKU0010,,8,145.04,0.00,145.04,70.24,0
2025-05-26,STR001,SKU0010,,1,18.13,0.00,18.13,8.78,0
2025-06-02,STR001,SKU0010,,4,72.52,0.00,72.52,35.12,0
